,entry,name
26,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.",venusaur
27,"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance.",venusaur
28,There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,venusaur
29,VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,venusaur
30,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,venusaur
31,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,venusaur
32,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",venusaur
33,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,venusaur
34,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",charmander
35,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,charmander
36,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.",charmander
37,"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly.",charmander
38,"If it’s healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet.",charmander
39,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when it is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely.",charmander
40,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when it is happy, and blazes when it is enraged.",charmander
41,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",charmander
42,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",charmander
43,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.",charmander
44,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.",charmander
45,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when it is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",charmander
46,"The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.",charmander
47,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",charmeleon
48,"Tough fights could excite this POKéMON. When excited, it may blow out bluish-white flames.",charmeleon
49,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins.",charmeleon
50,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",charmeleon
51,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",charmeleon
52,"it mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",charmeleon
53,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.",charmeleon
54,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,charmeleon
55,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.",charmeleon
56,"In the rocky mountains where it live, their fiery tails shine at night like stars.",charmeleon
57,"Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames.",charmeleon
58,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,charizard
59,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely.",charizard
60,"If it becomes furious, the flame at the tip of its tail flares up in a whitish-blue color.",charizard
61,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.",charizard
62,It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.,charizard
63,"it flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",charizard
64,"A it flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.",charizard
65,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",charizard
66,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,charizard
67,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.,charizard
68,"If it becomes furious, the flame at the tip of its tail flares up in a light blue shade.",charizard
69,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,charizard
70,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",charizard
71,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",charizard
72,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely.",charizard
73,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",squirtle
74,Shoots water at prey while in the water. Withdraws into its shell when in danger.,squirtle
75,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.",squirtle
76,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.",squirtle
77,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.",squirtle
78,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds.",squirtle
79,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling it to swim at high speeds.",squirtle
80,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",squirtle
81,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth.",squirtle
82,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",squirtle
83,It shelters itself in its shell then strikes back with spouts of water at every opportunity.,squirtle
84,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",squirtle
85,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",squirtle
86,"It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.",squirtle
87,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",wartortle
88,"When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit.",wartortle
89,"It is recognized as a symbol of longevity. If its shell has algae on it, that it is very old.",wartortle
90,It cleverly controls its furry ears and tail to maintain its balance while swimming.,wartortle
91,"Its long, furry tail is a symbol of longevity, making it quite popular among older people.",wartortle
92,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as it ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler.",wartortle
93,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle.",wartortle
94,This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.,wartortle
95,"It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.",wartortle
96,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.",wartortle
97,"It is a well-established symbol of longevity. If its shell has algae on it, that it is very old.",wartortle
98,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.",wartortle
99,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as it ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",wartortle
100,"When tapped on its head, this Pokémon will pull it in, but its tail will stick out a little bit.",wartortle
101,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,blastoise
102,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",blastoise
103,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.,blastoise
104,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,blastoise
105,It firmly plants its feet on the ground before shooting water from the jets on its back.,blastoise
106,it has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,blastoise
107,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.,blastoise
108,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",blastoise
109,The pressurized water jets on this brutal POKéMON’s shell are used for high-speed tackles.,blastoise
110,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,blastoise
111,The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles.,blastoise
112,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,caterpie
113,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself.",caterpie
114,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",caterpie
115,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,caterpie
116,It crawls into foliage where it camouflages itself among leaves that are the same color as its body.,caterpie
117,"it has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor.",caterpie
118,Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.,caterpie
119,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.",caterpie
120,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,caterpie
121,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",caterpie
122,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.",caterpie
123,"It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",caterpie
124,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.",caterpie
125,"it has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",caterpie
126,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.",caterpie
127,It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly.,caterpie
128,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",metapod
129,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell.",metapod
130,"Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell.",metapod
131,It prepares for evolution by hardening its shell as much as possible to protect its soft body.,metapod
132,"This is its pre-evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.",metapod
133,The shell covering this POKéMON’s body is as hard as an iron slab. it does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,metapod
134,Its shell is as hard as an iron slab. A it does not move very much because it is preparing its soft innards for evolution inside the shell.,metapod
135,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",metapod
136,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,metapod
137,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.",metapod
138,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.,metapod
139,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided.",metapod
140,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,metapod
141,The shell covering this Pokémon’s body is as hard as an iron slab. it does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,metapod
142,"Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides.",metapod
143,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",metapod
144,A steel-hard shell protects its tender body. The Pokémon quietly endures hardships while awaiting evolution.,metapod
145,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",butterfree
146,"Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain.",butterfree
147,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,butterfree
148,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains.",butterfree
149,"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.",butterfree
150,"it has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",butterfree
151,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away.",butterfree
152,"The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain.",butterfree
153,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",butterfree
154,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,butterfree
155,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain.",butterfree
156,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,butterfree
157,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.",butterfree
158,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, it sprinkles its scales on them to drive them off.",butterfree
159,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.",butterfree
160,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain.",butterfree
161,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,butterfree
162,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",weedle
163,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,weedle
164,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,weedle
165,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.,weedle
166,The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.,weedle
167,it has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,weedle
168,A it has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).,weedle
169,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",weedle
170,"Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison.",weedle
171,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,weedle
172,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",kakuna
173,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",kakuna
174,"Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.",kakuna
175,"From this form, it will grow into an adult. As its body becomes softer, the external shell hardens.",kakuna
176,"Nearly incapable of movement, it leans against stout trees while waiting for its evolution.",kakuna
177,"it remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",kakuna
178,"It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes.",kakuna
179,This POKéMON is in a temporary stage while making its body. It is almost completely unable to move on its own.,kakuna
180,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself when it is in danger.",kakuna
181,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",kakuna
182,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",kakuna
183,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,beedrill
184,It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,beedrill
185,It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.,beedrill
186,It has three poison barbs. The barb on its tail secretes the most powerful poison.,beedrill
187,"It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food.",beedrill
188,"it is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm.",beedrill
189,"A it is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm.",beedrill
190,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",beedrill
191,It flies at high speed and attacks using the large venomous stingers on its forelegs and tail.,beedrill
192,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",beedrill
193,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,beedrill
194,"it is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",beedrill
195,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,pidgey
196,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",pidgey
197,"It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand.",pidgey
198,"Common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand.",pidgey
199,"It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open.",pidgey
200,"it has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",pidgey
201,"It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.",pidgey
202,"Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs.",pidgey
203,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.",pidgey
204,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",pidgeotto
205,This POKéMON is full of vitality. It constantly flies around its large territory in search of prey.,pidgeotto
206,"It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey.",pidgeotto
207,"It immobilizes its prey using well-developed claws, then carries the prey more than 60 miles to its nest.",pidgeotto
208,"It slowly flies in a circular pattern, all the while keeping a sharp lookout for prey.",pidgeotto
209,"it claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",pidgeotto
210,"This POKéMON flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",pidgeotto
211,The claws on its feet are well developed. It can carry prey such as an EXEGGCUTE to its nest over 60 miles away.,pidgeotto
212,"It flies over its wide territory in search of prey, downing it with its highly developed claws.",pidgeotto
213,"It renders its prey immobile using well-developed claws, then carries the prey more than 60 miles to its nest.",pidgeotto
214,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.,pidgeotto
215,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder.",pidgeotto
216,"it claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",pidgeotto
217,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,pidgeotto
218,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",pidgeot
219,"This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",pidgeot
220,Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.,pidgeot
221,It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.,pidgeot
222,"Its outstanding vision allows it to spot splashing MAGIKARP, even while flying at 3300 feet.",pidgeot
223,"This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose it as their POKéMON.",pidgeot
224,"This POKéMON has gorgeous, glossy feathers. Many TRAINERS are so captivated by the beautiful feathers on its head that they choose it as their POKéMON.",pidgeot
225,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.,pidgeot
226,"By flapping its wings with all its might, it can make a gust of wind capable of bending tall trees.",pidgeot
227,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.",pidgeot
228,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose it as their Pokémon.",pidgeot
229,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",pidgeot
230,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",rattata
231,"Will chew on anything with its fangs. If you see one, it is certain that 40 more live in the area.",rattata
232,"It eats anything. Wherever food is available, it will settle down and produce offspring continuously.",rattata
233,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.",rattata
234,This POKéMON’s impressive vitality allows it to live anywhere. It also multiplies very quickly.,rattata
235,"it is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere.",rattata
236,"A it is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere.",rattata
237,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down.",rattata
238,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment.",rattata
239,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime.",rattata
240,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.",rattata
241,"With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.",rattata
242,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.",rattata
243,"it is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",rattata
244,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.,rattata
245,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",rattata
246,"It’s cautious in the extreme, and its hardy vitality lets it live in any kind of environment.",rattata
247,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.,raticate
248,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",raticate
249,Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnawing on them.,raticate
250,"Its whiskers help it to maintain balance. Its fangs never stop growing, so it gnaws to pare them down.",raticate
251,The webs on its hind legs enable it to cross rivers. It searches wide areas for food.,raticate
252,"RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",raticate
253,"A RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",raticate
254,"Its rear feet have three toes each. They are webbed, enabling it to swim across rivers.",raticate
255,It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.,raticate
256,"With its long fangs, this surprisingly violent Pokémon can gnaw away even thick concrete with ease.",raticate
257,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans.",raticate
258,"Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face, as it could bite your hand clean off.",raticate
259,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,raticate
260,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",raticate
261,"Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.",raticate
262,It whittles down its constantly growing fangs by gnawing on hard things. It can chew apart cinder block walls.,raticate
263,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,spearow
264,"Inept at flying high. However, it can fly around very fast to protect its territory.",spearow
265,It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.,spearow
266,"Very protective of its territory, it flaps its short wings busily to dart around at high speed.",spearow
267,"To protect its territory, it flies around ceaselessly, making high-pitched cries.",spearow
268,"it has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",spearow
269,"Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",spearow
270,"It busily flits around here and there. Even if it is frail, it can be a tough foe that uses MIRROR MOVE.",spearow
271,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",spearow
272,Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.,spearow
273,Farmers whose fields are troubled by bug Pokémon appreciate it for its vigorous appetite and look after it.,spearow
274,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,spearow
275,"Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon.",spearow
276,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",fearow
277,"A POKéMON that dates back many years. If it senses danger, it flies high and away, instantly.",fearow
278,"It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey.",fearow
279,"It cleverly uses its thin, long beak to pluck and eat small insects that hide under the ground.",fearow
280,"It uses its long beak to attack. It has a surprisingly long reach, so it must be treated with caution.",fearow
281,it is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,fearow
282,Its long neck and elongated beak are ideal for catching prey in soil or water. It deftly moves this extended and skinny beak to pluck prey.,fearow
283,Its huge and magnificent wings can keep it aloft in the sky. It can remain flying a whole day without landing.,fearow
284,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.,fearow
285,It has the stamina to keep flying all day on its broad wings. It fights by using its sharp beak.,fearow
286,It’s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,fearow
287,Drawings of a Pokémon resembling it can be seen in murals from deep in ancient history.,fearow
288,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,fearow
289,"In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food.",fearow
290,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",fearow
291,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",ekans
292,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",ekans
293,"It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.",ekans
294,"It always hides in grass. When first born, it has no poison, so its bite is painful, but harmless.",ekans
295,"It flutters the tip of its tongue to seek out the scent of prey, then swallows the prey whole.",ekans
296,it curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,ekans
297,An it curls itself up in a spiral while it rests. This position allows it to quickly respond to an enemy from any direction with a threat from its upraised head.,ekans
298,"A very common sight in grassland, etc. It flicks its tongue in and out to sense danger in its surroundings.",ekans
299,"Moving silently and stealthily, it eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",ekans
